#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
299368:5962,07/18/17 16:09:23,131,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.003660776,0.002975924
299369:5962,07/18/17 17:05:01,302,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.007999103,0.007132696
299370:5962,07/18/17 19:39:20,666,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.018217684,0.017064017
299380:5963,07/19/17 02:35:27,191,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.005047563,0.004575393
299381:5963,07/19/17 04:00:43,45,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.001034372,0.000917580
299394:5965,07/19/17 07:30:38,22,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.000460660,0.000411146
299395:5965,07/19/17 07:42:23,182,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.005010398,0.003449407
299396:5965,07/19/17 08:55:05,81,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.002192359,0.001563500
299420:5966,07/19/17 12:04:00,49,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.001424774,0.001202712
299443:5971,07/20/17 00:32:54,20,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.000644000,0.000509843
299450:5974,07/20/17 04:37:03,50,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.001294249,0.001126855
299477:5976,07/20/17 12:44:20,10,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.000296449,0.000183952
299478:5976,07/20/17 13:06:43,172,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.004572452,0.004107992
299479:5976,07/20/17 14:18:01,117,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.003120364,0.002754870
299480:5976,07/20/17 15:07:52,710,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.019722608,0.018264465
299481:5976,07/20/17 19:55:18,1200,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.056762622,0.053526901
299593:5979,07/21/17 18:23:44,797,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.020193087,0.018739373
299594:5979,07/21/17 23:38:54,309,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.008093699,0.007585776
299595:5979,07/22/17 01:48:02,135,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.003238622,0.003126313
299597:5979,07/22/17 02:46:03,537,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.011150767,0.010671192
299649:5984,07/24/17 02:38:21,182,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v5,0.004929737,0.004479032
